,gene,plate,row,column,area.48,mean_intensity.48,corrected_area.48,corrected_mean_intensity.48
0,Sc_CCM 10,0,0,0,,,,
1,Filler,0,0,1,77.0,0.0011256503886835864,55.72247918593895,0.0009828370183204973
2,Sc_CCM 14,0,0,2,93.0,0.0011055300563017063,74.10768335273573,0.0009880587660119073
3,Filler,0,0,3,101.0,0.0011091859524582312,76.41282122133187,0.0009939702615548633
4,Sc_CCM 08,0,0,4,12.0,0.0004423577052600116,9.709219858156029,0.00040117282948732034
5,Filler,0,0,5,97.0,0.0011116364796877306,76.36170212765958,0.0009888775103240504
6,Sc_CCM 11,0,0,6,100.0,0.0011376875104650418,78.72340425531915,0.0010120517034412817
7,Filler,0,0,7,108.0,0.0011243723126387168,85.02127659574468,0.0010002069143249088
8,Sc_CCM 30,0,0,8,112.0,0.0011703551549573392,88.17021276595744,0.0010411118319490912
9,Filler,0,0,9,113.0,0.001118504961873026,88.95744680851064,0.000994987500133856
10,Sc_CCM 13,0,0,10,112.0,0.001122861071852562,88.17021276595744,0.0009988625611542278
11,Filler,0,0,11,90.0,0.0011638850826328753,70.85106382978724,0.0010353562552576625
12,Sc_CCM 15,0,0,12,102.0,0.0014224546082801186,80.29787234042553,0.0012653717265379352
13,Filler,0,0,13,111.0,0.0011648536531628961,87.38297872340426,0.0010362178657137798
14,0.0,0,0,14,4.0,,3.148936170212766,
15,Filler,0,0,15,108.0,0.0011239383464347662,85.02127659574468,0.0009998208713808629
16,Sc_CCM 25,0,0,16,70.0,0.0020044757595720653,55.1063829787234,0.0017831197831752945
17,Filler,0,0,17,102.0,0.0010746430883500336,80.29787234042553,0.0009559693309030752
18,Sc_CCM 21,0,0,18,53.0,0.0015293943588234292,41.72340425531915,0.001360502028758361
19,Filler,0,0,19,109.0,0.001098495747637405,85.80851063829788,0.0009771879205784785
20,Sc_CCM 16,0,0,20,100.0,0.001482804300133676,78.72340425531915,0.001319056950187427
21,Filler,0,0,21,,,,
22,Sc_CCM 12,0,0,22,,,,
23,Filler,0,0,23,,,,
24,Filler,0,1,0,,,,
25,Filler,0,1,1,70.0,0.0010578003645149523,64.34782608695652,0.0010382501024503526
26,Filler,0,1,2,79.0,0.0010128461212496821,73.50880338975696,0.0009987901507006744
27,Filler,0,1,3,83.0,0.0010053107254082842,73.3254819714447,0.0009940034843634608
28,Filler,0,1,4,81.0,0.001018438495068814,76.52795031055899,0.0010190870482353856
29,Filler,0,1,5,82.0,0.001015935478229056,75.37888198757764,0.0009971589628237033
30,Filler,0,1,6,82.0,0.0010287127753311957,75.37888198757764,0.0010097001099724078
31,Filler,0,1,7,85.0,0.0010235698565686864,78.13664596273291,0.0010046522426136954
32,Filler,0,1,8,85.0,0.001019212796452054,78.13664596273291,0.0010003757096645409
33,Filler,0,1,9,83.0,0.0010260188128798288,76.29813664596273,0.0010070559373241866
34,Filler,0,1,10,80.0,0.0010140194731775545,73.54037267080744,0.0009952783693698254
35,Filler,0,1,11,77.0,0.0010236504844575306,70.78260869565217,0.0010047313803382236
36,Filler,0,1,12,78.0,0.0010382547765019536,71.70186335403726,0.0010190657559160671
37,Filler,0,1,13,67.0,0.0010356999898405302,61.59006211180124,0.0010165581868114017
38,Filler,0,1,14,80.0,0.0010511967044275774,73.54037267080744,0.001031768491182041
39,Filler,0,1,15,76.0,0.0010264990697566067,69.86335403726707,0.0010075273180953075
40,Filler,0,1,16,79.0,0.0009983365833906024,72.62111801242236,0.0009798853306885737
41,Filler,0,1,17,86.0,0.0009961890150237262,79.05590062111801,0.0009777774536715803
42,Filler,0,1,18,84.0,0.0009925656340180403,77.21739130434783,0.0009742210399790069
43,Filler,0,1,19,87.0,0.001015458803978153,79.9751552795031,0.0009966910984643804
44,Filler,0,1,20,81.0,0.0010590795726171803,74.45962732919254,0.001039505668233602
45,Filler,0,1,21,,,,
46,Filler,0,1,22,,,,
47,Filler,0,1,23,,,,
48,Sc_CCM 16,0,2,0,,,,
49,Filler,0,2,1,69.0,0.0010240247080192007,64.20389156826874,0.0010098136044414778
50,Sc_CCM 09,0,2,2,85.0,0.00045147393700198065,86.03899883585564,0.00045359180078986713
51,Filler,0,2,3,80.0,0.0009610631760688447,77.82289887062878,0.0009726884728783295
