,gene,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count
0,ADE12,0.0009268892963889366,9.870938800833547e-06,4.0,289.25,14.080127840328723,4.0,0.0003066265048091638,0.00011772229881446594,4.0,375.0,13.291601358251254,4.0,0.0009671804380563095,1.0646499504026575e-05,4.0,294.2923281178223,9.158720731993172,4.0,0.000330627051228752,0.00012906859117786247,4.0,403.076304281112,5.073939624077812,3.0
1,AIM22,0.002274751775655305,1.0395914804161276e-05,4.0,192.0,7.393691004272946,4.0,0.0024934047638459434,6.511877344331975e-05,4.0,294.75,12.5,4.0,0.0020530490138524877,6.723362125558803e-06,4.0,244.3528062529338,9.38461463593462,4.0,0.0020393719903176715,1.1823791453519182e-05,4.0,364.27632247731947,9.72036439523219,4.0
2,"ARG5,6",0.0017470402669759865,5.7949078479374045e-05,4.0,164.25,7.320063751999248,4.0,0.0025662243219010446,5.945442267185362e-05,4.0,256.75,1.2583057392117973,4.0,0.0016338403176694644,1.878820751521834e-05,3.0,192.534286963792,7.841473161003684,4.0,0.0020293595605842853,1.2228584074024465e-05,4.0,304.22647237121697,1.7796386300217757,3.0
3,CCM19_WT,0.0016921866607790834,5.1739843628758555e-06,4.0,307.75,10.21028892833107,4.0,0.0015860625935329258,1.294127113273759e-05,4.0,397.75,5.619905100029129,4.0,0.0016952859663729334,9.638202472866028e-06,4.0,372.3439873918378,8.912803027897883,4.0,0.001700844329357963,1.6041351100913623e-05,4.0,491.9286227810812,4.830698553249481,4.0
4,FLO10,0.001735272498310799,1.9398916798653883e-05,4.0,297.0,20.016659728003237,4.0,0.0015956688131094033,6.05778764325826e-06,4.0,387.75,17.056279391082526,4.0,0.001692145013087303,8.915855851093968e-06,4.0,347.5817444880954,4.550341522396959,3.0,0.001796734825754682,9.940949425063832e-06,4.0,469.24853882123847,4.840828034541542,3.0
5,LPD1,0.002344026344051091,3.9974669342755627e-05,4.0,322.25,15.326991442115007,4.0,0.0024174355360579228,1.0630430265302458e-05,4.0,390.25,17.727097901235837,4.0,0.002226123646597651,3.00128021651165e-05,4.0,329.52451775620733,11.953818039431361,4.0,0.002695243925305675,1.0857145022970296e-05,4.0,433.139534875652,17.112621320561956,4.0
6,LYS14,0.002252291529035497,2.515181658287029e-05,4.0,316.25,5.188127472091127,4.0,0.0022731327579127913,4.934945881156803e-05,4.0,405.5,9.678154093971983,4.0,0.002218497642187317,1.7082813628142883e-05,4.0,351.0227952354551,6.369877925614916,4.0,0.0019992990625159416,2.377845435619189e-06,3.0,459.4996739243615,4.723662619485514,3.0
7,MET14,0.0017461521464339903,1.4790685915639717e-05,4.0,386.0,6.164414002968977,4.0,0.002397941479445418,3.871529907406295e-05,4.0,499.0,8.36660026534075,4.0,0.0017756411175562186,3.0155826444200103e-06,3.0,391.74611581388206,5.332852200521734,4.0,0.002194415098290892,3.23446863568265e-05,4.0,531.7355161263541,6.237231438607503,4.0
8,PDA1,0.0019940417969749264,7.753278095364e-06,4.0,301.0,12.24744871391589,4.0,0.0019713540310480884,4.824749329073047e-05,4.0,403.5,11.73314393786536,4.0,0.001890454667550204,2.386212686568067e-06,3.0,343.8254767119043,3.0303587995416312,3.0,0.00174972380197696,6.95286848122401e-06,4.0,459.2439027804308,5.142565638032037,4.0
9,SNF7,0.0009499472019243449,2.7363926467772033e-05,4.0,170.25,14.314910641239317,4.0,0.0006192728838706554,0.00016722217146833039,4.0,235.75,13.744695946679455,4.0,0.0009467970802288847,6.599566392085526e-06,3.0,172.4498825739279,11.507504168291987,4.0,0.0006529702374328362,0.00017351869075030938,4.0,257.79500339848187,9.829202119025261,4.0
