,gene,plate_mean,plate_std,plate_count,mean_intensity.48.A_mean,mean_intensity.48.A_std,mean_intensity.48.A_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,corrected_mean_intensity.48.A_mean,corrected_mean_intensity.48.A_std,corrected_mean_intensity.48.A_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,mean_intensity.24.A_mean,mean_intensity.24.A_std,mean_intensity.24.A_count
0,0,7.465753424657534,4.215553497624433,1168,0.0016426619658852317,0.00043294078503986014,22.0,0.0016082878927423682,0.0004761235870786024,22.0,87.72340425531915,100.7113184191545,47.0,0.001550521469440508,0.0003897911423723637,24.0,38.26229508196721,55.211985908660644,61.0,0.001468034241386651,0.00035623490726169793,22.0,0.0014182538355844193,0.00039871960324613633,22.0,85.3020017061232,95.23851858935718,47.0,0.001697451207954933,0.0004168799957508502,24.0,12.264487402950364,15.457072991832858,61.0,0.0015921973799821333,0.00038013780683612353,15.0
1,41548,4.0,0.0,8,0.001114207363860075,3.35947225116172e-05,8.0,0.0009331633740427501,2.202396656245738e-05,8.0,107.25,26.058998994040977,8.0,0.0014577422269466001,8.164389825435538e-05,8.0,54.75,29.48970764763288,8.0,0.0011230293226367875,0.00011053871956867925,8.0,0.0010810423988432479,0.00010748859067954946,8.0,139.79296555386782,7.294414209434538,7.0,0.001522589900665759,7.256688604279914e-05,8.0,25.864117761449506,1.7891151144671873,8.0,0.0016662493560610251,7.512172894567654e-05,4.0
2,AAC1,12.0,0.0,8,0.0014796756920195876,0.00021757329519888935,8.0,0.0014883879566241996,0.00015152695790710585,8.0,161.5,42.372497819087464,8.0,0.0014480911043853748,0.00027578383803694587,8.0,81.0,52.0,8.0,0.0015209118086974298,3.231674593848749e-05,6.0,0.0014391801059461518,2.775237398616052e-05,6.0,167.88641021010122,35.19116700620619,8.0,0.0016161771641083056,0.000211001252091887,8.0,32.27201223607812,8.059214677191061,7.0,0.0016418970805769997,9.510790778030069e-05,4.0
3,AAC3,11.0,0.0,8,,,0.0,,,0.0,8.0,2.581988897471611,4.0,,,0.0,2.0,0.816496580927726,4.0,,,0.0,,,0.0,6.726978559154621,1.8931808494558684,4.0,,,0.0,1.7126802551646065,0.6646764503915967,4.0,,,0.0
4,AAD3,12.0,0.0,8,0.0011041220902254876,0.0001042853108680447,8.0,0.001298744924587275,0.00010374619994949672,8.0,176.5,39.612407868531,8.0,0.0014211162333711124,8.151597559999759e-05,8.0,90.625,51.42800098889987,8.0,0.0013721241765784124,0.00011617173312405079,7.0,0.0013239422860682798,0.00011608939392279859,7.0,162.80900374074864,14.78790056350251,8.0,0.001676470458019958,0.00017945680949764276,7.0,31.494933094305583,3.275749166157936,7.0,0.0011919278171774999,3.7237135565569034e-05,4.0
5,AAD4,9.0,0.0,8,0.001466955244534375,8.500502498857549e-05,8.0,0.00131527842443475,8.912708025854715e-05,8.0,125.75,19.82602906714879,8.0,0.0015768913570108375,6.512523796156396e-05,8.0,66.125,41.906145134096974,8.0,0.0014367737619006835,3.9471325950734525e-05,6.0,0.001373961071064666,4.19574603963661e-05,7.0,162.63011951402927,19.714408736813844,8.0,0.001665937880977108,5.342765190493555e-05,8.0,30.04676272041659,4.964986059741299,7.0,0.0015350685929518,7.426448372058981e-05,4.0
6,AAD6,7.0,0.0,8,0.0015837183604855624,0.00010537176741444298,8.0,0.0014650994587052124,9.283000432146555e-05,8.0,131.25,27.238365799522025,8.0,0.0017212195592999375,0.00016303291904157528,8.0,67.625,42.05417424499703,8.0,0.0014146636291493119,9.43979353854273e-05,8.0,0.0013655680882232527,9.065541089237681e-05,8.0,184.2198829499647,25.196641243813154,8.0,0.0017149546683271938,7.136570800266875e-05,7.0,34.22394537641854,4.354928443723783,8.0,0.0016360680970521002,6.712812993045784e-05,4.0
7,AAH1,10.0,0.0,8,0.0010890517126464,0.00016609628194308936,8.0,0.0012555811888551374,7.841103962720331e-05,8.0,102.875,9.234059624177066,8.0,0.0013067501044845,0.00016639836991528615,8.0,51.0,34.91622627293587,8.0,0.0011794054349146819,3.29690717461116e-05,7.0,0.0011110715348667103,3.1264072144201336e-05,7.0,96.17968880354582,12.900652735383249,7.0,0.0013116378628790888,7.29266922643824e-05,7.0,16.311337847409053,3.727290253125222,8.0,0.001090823545651175,5.518337118593524e-05,4.0
8,AAP1,3.0,0.0,8,0.0015122443746868374,0.00010686612828346793,8.0,0.0013838154420708249,0.00011366432835208504,8.0,136.5,23.555405809646814,8.0,0.0016314885682759748,0.00015786260338102533,8.0,65.625,38.953956336753706,8.0,0.0013754419252627998,4.386298624548933e-05,7.0,0.0013217972540125274,4.0752297714284004e-05,7.0,148.99553434168453,9.370773033164019,6.0,0.0016767411632339095,3.1405346715869036e-05,7.0,27.22011028365504,1.6342714985874573,7.0,0.0015876134219026251,4.913642977798717e-05,4.0
9,AAT1,4.0,0.0,8,0.0012675352800595625,0.00017247695808335502,8.0,0.0013147850896133124,0.00013794048232367565,8.0,152.75,29.84124662275355,8.0,0.0015425429185631624,4.028953955583952e-05,8.0,73.375,39.874580159007856,8.0,0.0014313491283806875,3.395570279639945e-05,6.0,0.0013746944088834593,4.3028486078849014e-05,7.0,151.77669004985512,5.347912557414213,8.0,0.0016302563567050408,3.622835921665487e-05,7.0,28.491669905299574,1.2143699305497362,7.0,0.0014170048338419,4.3009017417114715e-05,4.0
